company_name,domain,sector,sub_sector_primary,sub_sector_secondary
Columbia Woodworking,columbiawoodworking.com,Commercial Construction,Woodworking Specialists,
New Hudson Facades,newhudsonfacades.com,Commercial Construction,Curtain Wall Specialists,
Facet Filtration,facetfiltration.com,Filtration Solutions,Filtration Manufacturers,
BEMO,bemousa.com,Commercial Construction,Roofing Specialists,Exterior Wall Panel Specialists
Tate,tateglobal.com,Data Centres,Mechanical – Liquid Cooling/ HVAC,
John W McDougall,jwmcd.com,Commercial Construction,,Exterior Wall Panel Specialists
MODUS Structures,modus.ca,Modular and Pre-Fabrication,Volumetric Modular,
TKL,tklgroup.com,Modular and Pre-Fabrication,Architectural Precast Concrete,
Stack Modular,stackmodular.com,Modular and Pre-Fabrication,Volumetric Modular,
STULZ,stulz.com,Data Centres,Mechanical – Liquid Cooling/ HVAC,
